reference,count
"bourdieu p., an invitation to reflective sociology, (1992)",1
"bourdieu p., las reglas del arte, (1995)",1
"bourdieu p., [1972] outline of a theory of practice, (1991)",1
"bourdieu p., distinction: a social critique of the judgement of taste, (2004)",1
"bourdieu p., masculine domination (richard nice, trans.), (2001)",1
"bourdieu p., la esencia del neoliberalismo, el punto de vista, 5, pp. 40-43, (2008)",1
"bourdieu p., lebaron f., un entretien avec pierre bourdieu et frÃ©dÃ©ric lebaron: et si on repensait l'Ã©conomie?, le nouvel observateur, (2000)",1
"bourdieu p., the rules of art: genesis and structure of the literary field (trans. s emanuel). stanford, ca: stanford university press, (1996)",1
"bourdieu p., boltanski l., chamboredon j.-c., la banque et sa clientÃ¨le: elÃ©ments d'une sociologie du crÃ©dit. 'utude rÃ©alisÃ©e sous la direction de pierre bourdieu par luc boltanski et jean-claude chamboredon, (1963)",1
"bourdieu p., darbel a., rivet j.-p., seibel c., travail et traveilleurs en algÃ©rie, (1963)",1
"bourdieu p., the forms of capital., handbook of theory and research for the sociology of education, pp. 241-258, (1986)",1
"bourdieu p., the state nobility: elite schools in the field of power., (1996)",1
"bourdieu p., passeron j.c., reproduction in economy, society, and culture., (1977)",1
"bourdieu p., cultural reproduction and social reproduction, power and ideology in education, pp. 487-510, (1973)",1
"bourdieu p., participant objectivation, huxley memorial lecture, (2000)",1
"bourdieu p., sociologie gÃ©nÃ©rale, cours au collÃ¨ge de france 1981-1983, 1, (2015)",1
"bourdieu p., pascalian meditations, trans. nice r, (2000)",1
"bourdieu p., masculine domination, trans. nice r, (2001)",1
"bourdieu p., outline of a theory of practice. cambridge, ma: cambridge, (1977)",1
"bourdieu p., nice r., the aristocracy of culture, media, culture & society, 2, pp. 225-254, (1980)",1
"bourdieu p., passeron j.c., passeron j.c., et al., le mÃ©tier de sociologue, (1968)",1
"bourdieu p., el neoliberalismo, utopÃ­a (en vÃ­as de realizaciÃ³n) de una explotaciÃ³n ilimitada, contrafuegos, pp. 136-150, (2003)",1
"bourdieu p., the bachelorsâ ball, (2007)",1
"bourdieu p., la misÃ©re du monde, (1993)",1
"bourdieu p., passeron j.-c., de saint-martin y., academic discourse: linguistic misunderstanding and professorial power, (1994)",1
"bourdieu p., practical reason: on the theory of social action, (1998)",1
"bourdieu p., communication and class struggle, pp. 124-130, (1979)",1
"bourdieu p., homo academicus, trans. collier p, (1988)",1
"bourdieu p., la distinction: critique sociale du jugement [distinction: a social critique of the judgment of taste], (1979)",1
"bourdieu p., homo academicus, polity press, (1988)",1
"bourdieu p., the rules of art, polity press, (1996)",1
"bourdieu. p., the state nobility: elite schools in the field of power, stanford university press, (1996)",1
"bourdieu p., pascalian meditations, polity press, (2000)",1
"bourdieu p., the social structure of the economy, polity press, (2005)",1
"bourdieu p., what makes a social class? on the theoretical and practical existence of groups, berkeley journal of sociology, (1987)",1
"bourdieu p., the logic of practice, (1984)",1
"bourdieu p., distinction: a social critique of the judgement of taste (trans by richard nice), (1984)",1
"bourdieu p., de saint martin m., la sainte famille: lÃ©piscopat franÃ§ais dans le champ du pouvoir, pp. 44-45, (1982)",1
"bourdieu p., structures, habitus, power: basis for a theory of symbolic power, culture/power/history: a reader in contemporary social theory, (1994)",1
"bourdieu p., on the state: lectures at the collÃ¨ge de france (1989-1992), (2014)",1
"bourdieu p., pascalian meditations, (1995)",1
"bourdieu p., forms of capital, education, globalization and social change, pp. 105-118, (2006)",1
"bourdieu p., la dominaciÃ³n masculina, (1999)",1
"bourdieu p., three forms of capital, pp. 241-258, (1986)",1
"bourdieu p., sapiro g., mchale b., first lecture. social space and symbolic space: introduction to a japanese reading of distinction, poetics today, 12, 4, pp. 627-638, (1991)",1
"bourdieu p., social space and symbolic power, social theory, 7, 1, pp. 14-25, (1989)",1
"bourdieu p., the specificity of the scientific field and the social conditions of the progress of reason, social science information / information sur les sciences sociales, 14, pp. 19-47, (1975)",1
"bourdieu p., originally published in 2004 as esquisse pour une auto-analyse, sketch for a self analysis, (2007)",1
"bourdieu p., [1971]), âlegitimation and structured interests in weberâs sociology of religionâ, in s. lash and s. whimster (eds), max weber, rationality, and modernity, pp. 119-136, (1987)",1
"bourdieu p., [1971]), âgenesis and structure of the religious field, comparative social research, 13, pp. 1-44, (1991)",1
"bourdieu p., the aristocracy of culture, media culture and sociology.a critical reader, (1986)",1
"bourdieu p., boltanski l., la production de l'idÃ©ologie dominante, (1976)",1
"bourdieu p., wacquat l.j.d., an invitation to reflexivesociology, (1992)",1
"bourdieu p., handbook for theory and research for the sociology of education, (1986)",1
"bourdieu p., principles of economic anthropology, handbook of economic anthropology, (2005)",1
"bourdieu p., physischer, sozialer und angeeigneter physischer raum, stadt-rÃ¤ume, pp. 25-34, (1991)",1
"bourdieu p., in other words. essays toward a reflexive sociology, (1990)",1
"bourdieu p., distinction: social critique of the judgement of taste, (1984)",1
"bourdieu p., the forms of capital, handbook oftheory and research ofthe sociology of education, pp. 241-258, (1986)",1
"bourdieu p., the logic of practice, (1993)",1
"bourdieu p., razones prÃ¡cticas: sobre lateorÃ­a de la acciÃ³n [practical reason: on the theory ofaction], (1999)",1
"bourdieu p., [1985]) sociology in question, (2000)",1
"bourdieu p., [1996]). 'the myth of ""globalization"" and the european welfare state, sociology is a martial art: political writings by pierre bourdieu, (2010)",1
"bourdieu andwacquant p.l., (1992)",1
"bourdieu p., wacquant l., from ruling class to field of power, theory, culture & society, 10, 1, pp. 19-44, (1993)",1
"bourdieu p., sur l'Ã©tat, (2012)",1
"bourdieu p., participant objectivation, the journal of the royal anthropological institute, 9, 2, pp. 281-294, (2003)",1
"bourdieu p., max weber, rationality and modernity, pp. 119-136, (1987)",1
"bourdieu p., pour une sociologie des formes symboliques, (1970)",1
"bourdieu p., sullo stato. corso al collÃ¨ge de france volume 1 (1989-1990), (2013)",1
"bourdieu p., classification struggles. general sociology. volume i. lectures at the collÃ¨ge de france 1981â1982, (2019)",1
"bourdieu p., microcosmes. thÃ©ories des champs, (2021)",1
"bourdieu p., wacqant l.d., an invitation to reflexive sociology, (1992)",1
"bourdieu p., passeron j.-c., la reproduction: Ã©lÃ©ments pour une thÃ©orie du systÃ¨me d'enseignement, (2018)",1
"bourdieu p., la prÃ©caritÃ© est aujourd'hui partout, contre-feux, pp. 95-101, (1998)",1
"bourdieu p., âprogram for a sociology of sportâ, sociology of sport journal, 5, 2, (1988)",1
"bourdieu p., systems of education and systems of thought, schooling and capitalism: a sociological reader, pp. 192-200, (1976)",1
"bourdieu p., the school as a conservative force: scholastic and cultural inequalities, schooling and capitalism: a sociological reader, pp. 110-117, (1976)",1
"bourdieu p., towards a reflexive sociology: a workshop with pierre bourdieu, sociological theory, 7, pp. 26-63, (1989)",1
"bourdieu p., acts of resistance: against the myths of our time, (2000)",1
"bourdieu m., distinction, (1984)",1
"bourdieu p., a contre-pente: entretien avec philippe mangeot, vacarme, 19, pp. 4-14, (2001)",1
"bourdieu p., dinstinctions: a sociological critique of the judgment of taste, (1984)",1
"bourdieu p., the social space and the genesis of groups, theory and society, 14, (1985)",1
"bourdieu p., the forms of capital, handbook of theory for the sociology of education, (1986)",1
"bourdieu r., the forms of capital, education: culture, economy and society, pp. 46-58, (1997)",1
"bourdieu p., the forms of capital, handbook of theory of research for sociology of education, pp. 241-258, (1986)",1
"bourdieu p., education: culture, economy, and society, (1997)",1
"bourdieu p., language & symbolic power, on symbolic power, (1991)",1
"bourdieu p., une classe objet, actes de la recherche en sciences sociales, 17-18, pp. 1-5, (1977)",1
"bourdieu p., capital symbolique et classes sociales, l'arc, 72, pp. 13-19, (1978)",1
"bourdieu p., effet de champ et effet de corps, actes de la recherche en sciences sociales, 59, (1985)",1
"bourdieu p., postface to the craft of sociology: epistemological preliminaries, pp. 247-260, (1968)",1
"bourdieu p., les rÃ¨gles de l'art. genÃ¨se et structure du champ artistique, (1992)",1
"bourdieu p., the biographical illusion, identity: a reader, pp. 299-305, (2000)",1
"bourdieu p., de la maison du roi Ã  la raison d'Ã©tat: un modÌle de la geÇ¹se du champ bureaucratique, actes de la recherche en sciences sociales, 118, pp. 55-68, (1997)",1
"bourdieu p., la distinction: critique sociale du jugement, Ã© ditions de minuit, (1979)",1
"bourdieu p., the forms of capital"" in the handbook of theory and research for the sociology of education, pp. 46-58, (1986)",1
"bourdieu p., the attitude of the algerian peasant toward time, mediterranean countrymen: essays in the social anthropology of the mediterranean, pp. 55-72, (1964)",1
"bourdieu p., intellectual field and creative project, information, 8, 2, pp. 89-119, (1969)",1
"bourdieu p., algeria 1960: the kabyle house or the world reversed, (1979)",1
"bourdieu p., social space and symbolic power, in other words. essays towards a reflexive sociology, pp. 123-149, (1990)",1
"bourdieu p., richardson j.g., the forms of capital, handbook of theory and research for the sociology of education, pp. 241-258, (1985)",1
"bourdieu p., the genesis of the concepts of habitus and of field, sociocritism, 2, pp. 11-23, (1985)",1
"bourdieu p., the biographical illusion, working papers and proceedings of the centre for psychosocial studies, 14, pp. 1-7, (1987)",1
"bourdieu p., the forms of capital, routledge falmer reader in sociology of education, pp. 15-29, (2004)",1
"bourdieu p., boltanski l., changes in social structure and changes in demand for education, contemporary europe: social structures and cultural patterns, pp. 197-227, (1978)",1
"bourdieu p., passeron j.-c., reproduction in education society and culture. 2nd ed, (1990)",1
"bourdieu p., cultural reproduction and social reproduction, pp. 487-511, (1977)",1
"bourdieu p., la distinciÃ³n: criterio y bases sociales del gusto, (2016)",1
"bourdieu p., political representation: elements for a theory of the political field, pp. 171-202, (1991)",1
"bourdieu p., the field of cultural production. essays on art andliterature, (1993)",1
"bourdieu p., delegation and political fetishism"" in language and symbolic power, pp. 203-219",1
"bourdieu, forms of capital, pp. 46-58",1
"bourdieu p., rethinking the state: genesis and structure of the bureaucratic field, pp. 53-75",1
"bourdieu, rethinking the state, pp. 57-58",1
"bourdieu, political representation, pp. 173-174",1
"bourdieu pierre, acts of resistance: against the tyranny of the market, (1993)",1
"bourdieu p., sozialer raum und klassen. leÃ§on sur leÃ§on. zwei vorlesungen, (1985)",1
"bourdieu p., waquant l., farage s., rethinking the state: genesis and structure of the bureaucratic field, sociological theory, 12, 1, pp. 2-18, (1994)",1
"bourdieu p., the contradictions of inheritance, weight of the world: social suffering in contemporary society, pp. 517-551, (1999)",1
"bourdieu p., praktische vernunft: zur theorie des handelns, (1998)",1
"bourdieu p., meditationen: zur kritik der scholastischen vernunft, (2001)",1
"bourdieu p., outline of a theory of practice (trans by richard nice), (1977)",1
"bourdieu p., de regels van de kunst. wording en structuur van het literaire veld. [dutch translation of les rÃ¨gles de l'art. genÃ¨se et structure du champ littÃ©raire], (1994)",1
"bourdieu p., passeron j.-c., la reproduction : elÃ©ments pour une thÃ©orie du systÃ¨me d'enseignement, (1970)",1
"bourdieu p., wacquant l.j., âthe purpose of reflexive sociology (the chicago workshop).â, an invitation to reflexive sociology, pp. 61-215, (1992)",1
"bourdieu p., language and symbolic violence, (1992)",1
"bourdieu p., the economics of linguistic exchanges (r.nice, trans).â, social science information, 16, 6, pp. 645-668, (1977)",1
"bourdieu p., the scholastic point of view.â, cultural anthropology, 5, 4, pp. 380-391, (1990)",1
"bourdieu p., the forms of capital, education, economy and society, (1986)",1
"bourdieu p., passeron j.c., la reproduction: Ã©lÃ©ments pour une thÃ©orie du systÃ¨me dâenseignement, (1970)",1
"bourdieu p., pierre p.j., reproduction in education, culture and society, (1977)",1
"bourdieu p., cultural reproduction and social reproduction, the structure of schooling: readings in the sociology of education, pp. 46-55, (2000)",1
"bourdieu p., choses dits, (1987)",1
"bourdieu p., raisons pratiques. sur la thÃ©orie de l'acion, (1994)",1
"bourdieu p., the force of law. toward a sociology of the juridical field, hastings law journal, 38, 5, pp. 805-853, (1987)",1
"bourdieu p., wacquant l., towards a reflexive sociology, sociological theory, 7, (1989)",1
"bourdieu pierre, wacquant loic j.d., farage samar, rethinking the state: genesis and structure of the bureaucratic field, sociological theory, 12, 1, pp. 1-18, (1994)",1
"bourdieu p., [1968]) outline of a theory of practice, (1977)",1
"bourdieu p., une classe objet, actes de la recherche en sciences sociales, 17-18, may, pp. 2-5, (1977)",1
"bourdieu p., other words: essays towards a reflexive sociology., (1990)",1
"bourdieu p., effects of place, the weight of the world, pp. 123-129, (1993)",1
"bourdieu p., the berber house, the anthropology of space, pp. 131-141, (2003)",1
"bourdieu p., ce que parler veut dire, l'Ã©conomie des Ã©changes linguistiques, (1982)",1
"bourdieu p., cultural reproduction and social reproduction, power and ideology in education, pp. 485-511, (1977)",1
"bourdieu p., chartier r., the sociologist and the historian, (2010)",1
"bourdieu p., les trois Ã©tapes du capital culturel, actes de recherche en sciences sociales, 30, 1, pp. 3-6, (1979)",1
"bourdieu pierre, on the state, (2014)",1
"bourdieu p., haute couture and haute culture, sociology in question, (1993)",1
"bourdieu p., distinction: a social critique of judgement of taste, (2004)",1
"bourdieu p., the abdication of the state, the weight of the world: social suffering in contemporary society, pp. 181-188, (1999)",1
"bourdieu pierre, wacquant loic, symbolic violence, violence in war and peace, pp. 272-274, (2004)",1
"bourdieu p., chamboredon j.-c., passeron j.-c., craft of sociology: epistemological preliminaries, (1968)",1
"bourdieu p., the field of cultural production, or: the economic world reversed, poetics, 12, (1983)",1
"bourdieu p., inequality at school as the key to cultural inequality, french cultural policy debates: a reader, (2002)",1
"bourdieu p., bourdieu: a critical reader, (1999)",1
"bourdieu p., grass g., 'speaking up', web translation of january 2000 television interview, (2000)",1
"bourdieu p., the specificity of the scientific field and the social conditions of the progression of reason, the science studies reader, pp. 19-47, (1999)",1
"bourdieu p., la misere du monde., (1993)",1
"bourdieu p., et al., the weight of the world: social suffering in contemporary life, (1999)",1
"bourdieu p., prÃ©sentation, actes de la recherche en sciences sociales, 1, pp. 1-3, (1975)",1
"bourdieu p., in other words: essays towards a reflexive sociology, (1985)",1
"bourdieu p., social space and social power, in other words: essays towards a reflexive sociology, (1990)",1
"bourdieu p., le champ Ã©conomique, actes de la recherche en science sociales, 119, pp. 48-67, (1997)",1
"bourdieu p., le bal des cÃ©libataires. crise de la sociÃ©tÃ© paysanne en bÃ©arne, (2000)",1
"bourdieu p., weight of the world: social suffering in contemporary society, (1999)",1
"bourdieu p., the rules of art: genesis and structure of the literary field, stanford: stanford university press, (1996)",1
"bourdieu p., practical reason: on the theory of action, stanford: stanford university press, (1998)",1
"bourdieu p., pascalian meditations, stanford: stanford university press, (2000)",1
"bourdieu p., the political field, the social science field, and the journalistic field. in bourdieu and the journalistic field, eds. rodney benson and erik neveu, 29â47, (2005)",1
"bourdieu p., distinction: a social critique of the judgement of taste, (1993)",1
"bourdieu p., wacquant l.j.d., farage s., rethinking the state: genesis and structure of the bureaucratic field, sociol theory, 12, 1, pp. 1-18, (1994)",1
"bourdieu p., symbolic power, critique of anthropology, 4, 13-4, pp. 77-85, (1979)",1
"bourdieu p., passeron j.-c., la reproduction : Ã©lÃ©ments pour une thÃ©orie du systÃ¨me d'enseignement, (1970)",1
"bourdieu p., esquisse dâune thÃ©orie de la pratique. prÃ©cÃ©dÃ©e de trios Ã©tudes dâethnologie kabyle, (1972)",1
"bourdieu p., the specificity of the scientific field and the social conditions of the progress of reason, social science information, 14, 5, pp. 19-47, (1975)",1
"bourdieu p., the field of cultural production, (1992)",1
"bourdieu p., structures, habitus, practices, (1993)",1
"bourdieu p., sayad a., la dÃ©racinement: la crise de l'agriculture traditionelle, (1964)",1
"bourdieu p., les heritiers les etudiants et la culture, (1964)",1
"bourdieu p., passkron j.c., reproduction in education, society and culture, (1976)",1
"bourdieu p., razones prÃ¡cticas. sobre la teorÃ­a de la acciÃ³n, (1997)",1
"bourdieu p., las formas del capital, poder, derecho y clases sociales, pp. 131-164, (2001)",1
"bourdieu p., le sens patrique, (2018)",1
"bourdieu p., la maison kabyle ou le monde inversÃ©, Ã©changes et communications. mÃ©langes offerts Ã  claude lÃ©vi-strauss Ã  lâoccasion de son 60Ã¨me anniversaire, pp. 739-758, (1970)",1
"bourdieu p., historical and structural analysis of the sociology of religion, revue franÃ§aise de sociologie, 12, pp. 295-334, (1971)",1
"bourdieu p., the scientific field, actes de la recherche en sciences sociales, 2, pp. 88-104, (1976)",1
"bourdieu p., authorised language, language and symbolic power, pp. 107-116, (1991)",1
"bourdieu p., passeron j.c., reproduction in society, education and culture, (1977)",1
"bourdieu p., passeron j.c., the inheritors, french students and their relation to culture, (1979)",1
"bourdieu p., structures, habitus, practices, contemporary sociological theory, pp. 276-288, (2002)",1
"bourdieu p., the forms of capital, cultural theory: an anthology (2011), pp. 81-93, (1986)",1
"bourdieu p., sapiro g., mchale b., fourth lecture. universal corporatism: the role of intellectuals in the modern world, poetics today, 12, 4, pp. 655-669, (1991)",1
"bourdieu p., the sociology of algeria, (1958)",1
"bourdieu p., rethinking the state: genesis and structure of the bureaucratic field, state/culture, pp. 53-75, (1999)",1
"bourdieu p., outline of Î± theory of practice, (1977)",1
"bourdieu p., force of law: toward a sociology of the juridical field, the hastings law journal, 38, 5, pp. 805-853, (1986)",1
"bourdieu p., et al., the weight of the world: social suffering in contemporary society, (1991)",1
"bourdieu p., intellectual field and creative project, social science information, 8, pp. 89-119, (1969)",1
"bourdieu p., the uses of the 'people, in other words: essays towards a reflexive sociology, pp. 150-156, (1990)",1
"bourdieu p., sociology in question, 18, (1994)",1
"bourdieu p., distinction, a social critique of the judgement of taste, (1987)",1
"bourdieu p., distinction: a social critique of the judgement of taste by pierre bourdieu, (1984)",1
"bourdieu p., rethinking the state: genesis and structure of the bureaucratic field, translated by loic j. d. wacquant and samar farage. sociological theory, 12, pp. 1-18, (1994)",1
"bourdieu p., et al., the craft of sociology: epistemolgical preliminaries, (1991)",1
"bourdieu pierre, state nobility - elite schools in the field of power, (1996)",1
"bourdieu p., brown r., cultural reproduction and social reproduction, knowledge, education, and cultural change: papers in the sociology of education, pp. 71-112, (1973)",1
"bourdieu p., the purpose of reflexive sociology (the chicago workshop), an invitation to reflexive sociology, pp. 61-217, (1992)",1
"bourdieu p., political ontology of martin heidegger, (1991)",1
"bourdieu p., bachelor's ball: the crisis in peasant society in bearne, (2008)",1
"bourdieu p., sketch for self analysis, (2008)",1
"bourdieu p., ragioni pratiche, (1985)",1
"bourdieu p., la prÃ©caritÃ© est aujourdâhui partout, contre-feux, (1998)",1
"bourdieu p., lâÃ©conomie de la maison, actes de la recherche en sciences sociales, pp. 81-82, (1990)",1
"bourdieu p., wacquant l., respuestas por una antropologÃ­a reflexiva, (1995)",1
"bourdieu p., the forms of social capital, handbook of theory and research for the sociology of education, pp. 241-257, (1986)",1
"bourdieu p., the forms of capital, handbook of theory and research in the sociology of education, (1985)",1
"bourdieu p., wacquant l., sur les ruses de la raison impÃ©rialiste, actes de la recherche en sciences sociales, 121-122, pp. 109-118, (1998)",1
"bourdieu p., nice r., distinction: a social critique of the judgment of taste, (1984)",1
"bourdieu p., la noblesse dâetat. grandes Ã©coles et esprit de corps, (1989)",1
"bourdieu p., boltanski l., saint-martin m., les stratÃ©gies de reconversion, information sur les sciences sociales, xii-5, pp. 61-75, (1973)",1
"bourdieu p., claude passerson j., reproduction in education, society and culture, (1977)",1
"bourdieu p., the forms of capital. in social capital critical perspectives. eds. stephen baron, john field, and tom schuller, (1986)",1
"bourdieu p., kapitalens former, agora - journal for metafysisk spekulation, 1-2, pp. 5-27, (2006)",1
"bourdieu p., algeria 1960: the disenchantment of the world, the sense of honor, the kabyle house or the world reversed, (1979)",1
"bourdieu p., the weight of the world: social suffering in contemporary society, site effects, pp. 123-129, (2000)",1
"bourdieu p., die mÃ¤nnliche herrschaft, (2012)",1
"bourdieu p., les paradoxes de l'automate, coopÃ©ration technique, 51-52, pp. 101-104, (1967)",1
"bourdieu p., les conditions sociales de la circulation internationale des idÃ©es, romanistische zeitschrift fÃ¼r literaturgeschichtel cahiers d'histoire des littÃ©ratures romanes, 1-2, pp. 1-10, (1990)",1
"bourdieu p., tout est social!, magazine littÃ©raire, 303, pp. 104-111, (1992)",1
"bourdieu p., from rules to strategies: an interview with pierre bourdieu, cultural anthropology, 1, 1, pp. 110-120, (1986)",1
"bourdieu p., wacquant l., argumenten: voor een reflexieve maatschappijwetenschap, (1992)",1
"bourdieu p., cuestiones de sociologÃ­a, (2000)",1
"bourdieu p., intellectual field and creative project, knowledge and control, pp. 161-188, (1971)",1
"bourdieu p., systems of education and systems of thought, knowledge and control, pp. 189-207, (1971)",1
"bourdieu p., outline of a sociological theory of art perception, the field of cultural production: essays on art and literature, pp. 215-237, (1993)",1
"bourdieu p., la domination masculine, (1999)",1
"bourdieu p., bourdieu p., social space and symbolic power, in other words: essay towards a reflexive sociology, pp. 123-139, (1990)",1
"bourdieu p., authorized language: the social conditions for the effectiveness of ritual discourse, language and symbolic power, pp. 107-116, (1991)",1
"bourdieu p., on symbolic power, language and symbolic power, pp. 276-277, (1991)",1
"bourdieu p., outline of a theory of practice., (1997)",1
"bourdieu p., practical reason., (1994)",1
"bourdieu p., masculine domination., (1998)",1
"bourdieu p., wacquant l.j.d., reflexive sociology, (1992)",1
"bourdieu p., the forms of capital, handbook of theory and research for the sociology of education, (1988)",1
"bourdieu p., passeron j.-c., la rÃ¨production, (1970)",1
"bourdieu p., education: culture, economy and society, pp. 46-58, (1997)",1
"bourdieu p., cultural reproduction and social reproduction, in knowledge, education, and cultural change, pp. 71-112, (1973)",1
"bourdieu p., things said [cosas dichas, (1996)",1
"bourdieu p., vive la crise! for heterodoxy in social science, theory and society, 17, pp. 773-784, (1988)",1
"bourdieu p., wacquant l., on the cunning of imperialist reason, theory, culture, and society, 16, 1, pp. 31-58, (1999)",1
"bourdieu p., science of science and reflexivity., (2004)",1
"bourdieu p., distinction: a social critique of the judgment of taste. cam-bridge, mass.: harvard university press, (1984)",1
"bourdieu p., die feinen unterschiede: kritik der gesellschaftlichen urteilskraft, (1987)",1
"bourdieu p., political representation: elements for a theory of the political field, language and symbolic power, (1991)",1
"bourdieu p., le sens pratique [the logic of practice], (1980)",1
"bourdieu p., nice r., the production of belief: contribution to an economy of symbolic goods, media, culture & society, 2, 3, pp. 261-293, (1980)",1
"bourdieu p., choses dites: le sens commun, (1987)",1
"bourdieu p., poder, derecho y clases sociales, (2001)",1
"bourdieu p., the forms of capital, education: culture, economy and society, (1986)",1
"bourdieu p., the forms of cultural capital, handbook of theory and research for the sociology of education, pp. 241-258, (1986)",1
"bourdieu p., outline of a sociological theory of art perception, the field of cultural production: essays on art and literature, pp. 215-227, (1993)",1
"bourdieu p., boltanski l., changes in the social structure and changes in the demand for education, in sociology of education: major themes, 2, (2000)",1
"bourdieu p., a economia das trocas simbÃ³licas, (1987)",1
"bourdieu p., richardson j.g., the forms of capital., the handbook of theory: research for the sociology of education, pp. 241-258, (1986)",1
"bourdieu p., le capital social notes provisoires, actes de la recherche en sciences sociales, 31, pp. 2-3, (1980)",1
"bourdieu, mammeri, dialogue",1
"bourdieu p., knowledge, education and cultural change, pp. 71-112, (1973)",1
"bourdieu p., les doxosophes, minuit, pp. 26-45, (1972)",1
"bourdieu p., Ã  propos de la famille comme catÃ©gorie rÃ©alisÃ©e, actes de la recherche en sciences sociales, 100, 5, pp. 32-36, (1993)",1
"bourdieu p., social space and symbolic space in practical reasons, (1998)",1
"bourdieu p., foreword, professional competition and professional power, (2005)",1
"bourdieu p., microcosmes: thÃ©orie des champs, raisons dâagir, (2022)",1
"bourdieu p., passeron j.-c., âla comparabilitÃ© des systÃ¨mes dâenseignement, Ã©ducation, dÃ©veloppement et dÃ©mocratie, (1967)",1
"bourdieu p., the rules of art. genesis and structure of the literary field, (1992)",1
"bourdieu p., âthe biographical illusion.â, working papers and proceedings of the centre for psychosocial studies, 14, pp. 1-7, (1987)",1
"bourdieu p., understanding, the weight of the world: social suffering in contemporary society, pp. 607-629, (1999)",1
"bourdieu p., homo academicus polity cambridge, (1988)",1
"bourdieu p., on the family as a realized category. theory, culture & society, 13, pp. 19-26, (1996)",1
"bourdieu p., on the state: lectures at the college de france, (2014)",1
"bourdieu p., on the family as a realized category, theory, culture and society, 13, pp. 19-26, (1996)",1
"bourdieu pierre, on television. trans. priscilla parkhurst ferguson, (1998)",1
"bourdieu pierre, the political field, the social science field, and the journalistic field, bourdieu and the journalistic field, pp. 29-47, (2005)",1
"bourdieu p., ""culture reproduction and social reproduction."", pp. 71-112, (1973)",1
"bourdieu p., un art moyen. essai sur les usages sociaux de la photograpie, (1965)",1
"bourdieu p., the production of belief: contribution to an economy of symbolic goods. media, culture and society, 2, pp. 261-293, (1980)",1
"bourdieu p., 13, 1, pp. 19-26, (1996)",1
"bourdieu p., passeron j. c., reproduction in education, society and culture, 4, (1990)",1
"bourdieu p., distinction rkp london, (1984)",1
"bourdieu p., l'illusion biographique, actes de la recherche en sciences sociales, 6263, pp. 69-72, (1986)",1
"bourdieu p., the state nobility polity cambridge, (1996)",1
"bourdieu p., sport and social class, rethinking popular culture: contempory perspectives in cultural studies, pp. 357-373, (1991)",1
"bourdieu p., pascalian meditations polity cambridge, (2000)",1
"bourdieu p., passeron j.-p., reproduction in society, education and culture sage london, (1990)",1
"bourdieu p., wacquant l., an invitation to reflexive sociology university of chicago press chicago, (1992)",1
"bourdieu p., trois Ã©tas du capital culturel, actes de la recherche en sciences sociales, 30, pp. 3-6, (1979)",1
"bourdieu p., une interprÃ©tation de la thÃ©orie de la religion selon max weber, archives europÃ©ennes de sociologie, 12, 1, pp. 3-21, (1971)",1
"bourdieu p., esquisse d'une thÃ©orie de la pratique. prÃ©cÃ© dÃ© de trois Ã©tudes d'etnologie kabile, (1972)",1
"bourdieu p., le champ littÃ©raire, actes de la recherche en sciences sociales, 89, pp. 3-46, (1991)",1
"bourdieu p., les rÃ¨gles de l'art, (1992)",1
"bourdieu p., raisons pratiques. sur la thÃ©orie de la action, (1994)",1
"bourdieu p., esquisse pour une autoanalyse, (2004)",1
"bourdieu p., passeron c.j., la reproduction. Ã©lÃ©ments pour une thÃ©orie du systÃ¨me d'enseignement, (1970)",1
"bourdieu p., chamboredon j.c., passeron j.c., le mÃ©tier de sociologue, (1968)",1
"bourdieu p., wacquant l., on the cunning of imperialist reason, culture & society, 16, 1, pp. 41-58, (1999)",1
"bourdieu p., boltanski l., formal qualifications and occupational hierarchies: the relationship between the production system and the reproduction system. (r. nice, trans.), reorganizing education, sage annual review, social and educational change, 1, pp. 61-69, (1977)",1
"bourdieu p., chamboredon j.-c., passeron j.-c., le mÃ©tier du sociologue, (1973)",1
"bourdieu p., sur lâÃ©tat: cours au collÃ¨ge de france 1989-1992, (2012)",1
"bourdieu p., variations et invariants, actes de la recherche en sciences sociales, 70, 1, pp. 3-30, (1987)",1
"bourdieu p., passeron j.c., les hÃ©ritiers. les Ã©tudiants et la culture, (1964)",1
"bourdieu p., saint martin m.d., agrÃ©gation et sÃ©grÃ©gation, actes de la recherche en sciences sociales, 69, 1, pp. 2-50, (1987)",1
"bourdieu p., the paris workshop, an invitation of reflexive sociology, pp. 218-260, (1992)",1
"bourdieu p., acts of resistance. against the tyranny of the market, (1998)",1
"bourdieu p., sozialer sin. kritik der theoretischen vernunft, (1987)",1
"bourdieu p., the organic ethnologist of algerian migration, ethnography, 1, 2, pp. 173-182, (2000)",1
"bourdieu p., the forms of capital, the handbook of theory and research for the sociology of education, pp. 248-259, (1986)",1
"bourdieu p., passeron j.-claude., reproduction in education, society, and culture., (1977)",1
"bourdieu p., (1972)",1
"bourdieu p., passeron j-c., reproduction in education, society and culture., (1977)",1
"bourdieu p., la noblesse dâÃ©tat, le sens commun, (1989)",1
"bourdieu p., de saint martin m., lâexcellence scolaire et les valeurs du systÃ¨me dâenseignement franÃ§ais, annales. histoire, sciences sociales, 1, pp. 147-175, (1970)",1
