top_reference,total_count
"bourdieu p., distinction. translated by richard nice. harvard university press, burkhardt, (1984)",1
"bourdieu p., sosiologian kysymyksiÃ¤. (the questions of sociology), (1985)",1
"bourdieu p., passeron s.d., a reproduciio. elementos para uma teoria do sisterna de ensino",1
"bourdieu, pierre, (1984)",1
"bourdieu p., historische und soziale vorussetzungen des modernen sports, pp. 91-112, (1986)",1
"bourdieu p., the production of belief, media, culture and society, 2, 3, pp. 261-294, (1982)",1
"bourdieu p., la construction du marchÃ©: le champ administratif et la production de la politique du logement, actes de la recherche en sciences sociales. n, 81, (1990)",1
"bourdieu p., choses dites kouzou to jissen (japanese translation), (1987)",1
"bourdieu p., knowledge, education and cultural change. london: tavistock, (1974)",1
"bourdieu p., le mÃ©tier de sociologue, (1968)",1
"bourdieu p., time perspectives of the kabyles, mediterranean countryman, 6, pp. 55-72, (1963)",1
"bourdieu p., la distinzione, (1983)",1
"bourdieu p., politics and nationhood: post-revolutionary portugal, (1984)",1
"bourdieu p., die biographische illusion, bios - zeitschrift fÃ¼r biographieforschung und oral history, 1, pp. 75-81, (1990)",1
"bourdieu p., collier p., homo academicus. trans. by, (1988)",1
"bourdieu p., passeron j.-g., structuralism and the theory of sociological knowledge, social research, 35, 4, (1968)",1
"bourdieu, pierre, condition de classe et position de class archives europeennes de sociologie, 7, 2, (1966)",1
"bourdieu, pierre, passeron, jean-claude, les temps modernes, 211, pp. 998-1021, (1963)",1
"bourdieu p., richard nice, outline of a theory of practice, (1977)",1
"bourdieu p., âfieldwork in philosophyâ, choses dites, pp. 13-46, (1987)",1
"bourdieu p., ârepÃ¨resâ, choses dites, note 9, (1927)",1
"bourdieu p., ârepÃ¨resâ, note 12, pp. 47-71",1
"bourdieu p., âfieldwork in philosophyâ, note 9",1
"bourdieu p., la dÃ©lÃ©gation ou le fÃ©tichisme politique, note 9, pp. 185-202",1
"bourdieu p., âla dÃ©lÃ©gation â¦â, note 9",1
"bourdieu p., ârepÃ¨resâ, note 9",1
"bourdieu p., sports, classes sociales et sub-cultures, conference introduction in sports et societes contemporaines: vllle symposium de icss, (1983)",1
"bourdieu p., sozialer raum und âklassen.â, (1985)",1
"bourdieu p., berkley journal of sociology, what makes a sodai class? on the theoretical and practical existence of groups, (1987)",1
"bourdieu p., cambridge, ma: harvard university press, distinction: a social critique of the judgement of taste, (1984)",1
"bourdieu p., esprits d'Ã©tat. genÃ¨se et structure du champ bureaucratique, raisons pratiques: sur la thÃ©orie de l'action., pp. 101-145, (1994)",1
"bourdieu, distinction., (1979)",1
"bourdieu p., mÃ©thode scientifique et hiÃ©rarchie sociale des objets, actes de la recherche en sciences sociales, 1, pp. 4-6, (1975)",1
"bourdieu p., homo academicus, homo academicus, (1984)",1
"bourdieu p., boltanski l., castel r., chamboredon j.-c., un art moyen, photography as a middlebrow art, (1965)",1
"bourdieu p., richardson j.g., the forms of capital, pp. 241-258, (1986)",1
"bourdieu p., structuralism and theory of sociological knowledge, social research",1
"bourdieu p., la noblesse d'etat: grandes Ã©coles et esprit de corps",1
"bourdieu p., mattelart a., siegelaub s., public opinion does not existâ, pp, communication and class struggle., pp. 124-30 in, (1979)",1
"bourdieu p., discussion with terry eagleton, (1991)",1
"bourdieu, passeron, la reproduction., (1970)",1
"bourdieu p., collins r., curran j., garnham n., scannell p., schlesinger p., sparks c., the aristocracy of culture, media, culture and society: a critical reader, (1986)",1
"bourdieu p., knowledge and control, (1971)",1
"bourdieu p., distinction: a social critique of taste, translated by richard nice, 22, pp. 3-14, (1984)",1
"bourdieu, in other words, pp. 133-134",1
"bourdieu p., the sense of honor, algeria 1960, (1979)",1
"bourdieu p., die soziologie symbolischer formen, (1976)",1
"bourdieu p., homo academicus paris: minuit 1984 and esquisse pour une auto-analyse paris: raisons d agir, (2004)",1
"the reality of reduction: the failed synthesis of pierre bourdieu, fin de siÃ¨cle social theory, (1995)",1
"bourdieu p., photography: a middle brow art, trans, (1990)",1
"bourdieu p., sociology is a martial art: political writings, (2010)",1
"bourdieu p., boltanski l., changes in social structure and changes in the demand for education, sociology of education: major themes, volume 2, inequalities and oppressions, 2, (2000)",1
"bourdieu p., prÃ©face, l'immigration, ou les paradoxes de l'alteritÃ©, pp. 7-9, (1991)",1
"bourdieu p., la distinction (distinction), (1979)",1
"bourdieu p., eagleton t., mapping ideology, pp. 265-277, (2000)",1
"bourdieu p., la mÃ©tamorfoses de goÃ»t, questions de sociologie, pp. 161-172, (1980)",1
"bourdieu p., the logic of practice, richard nice (trans.), (1990)",1
"bourdieu p., sociology of education: a critical reader, pp. 83-96, (2007)",1
"bourdieu p., la prÃ©caritÃ© est aujourdâhui partout: intervention lors des rencontres europÃ©ennes contre la prÃ©caritÃ©, grenoble, (1997)",1
"bourdieu p., the essence of neoliberalism, (1998)",1
"bourdieu p., the forms of capital, john g. richardson, pp. 241-258, (1986)",1
"bourdieu p., forms of capital. general sociology, volume 3. lectures at the collÃ¨ge de france (1983â1984), (2021)",1
"bourdieu p., the antinomies of collective voice, development, democracy, and the art of trespassing: essays in honor of albert o. hirschman, (1986)",1
"bourdieu p., sociology in question. theory, culture & society, (1993)",1
"bourdieu p., passeron j.c., elÃ©ments pour une thÃ©orie du systÃ¨me dâenseignement, (1970)",1
"bourdieu p., os usos sociais da ciÃªncia: por uma sociologia clÃ­nica do campo cientÃ­fico, (2004)",1
"bourdieu p., the odyssey of reappropriation, ethnography, 5, (2004)",1
"bourdieu p., on understanding' the weight of the world",1
"bourdieu p., alain a., gabrielle b., the weight of the world, stanford: stanford university press, (2000)",1
"bourdieu p., the historical genesis of the pure aesthetic, the field of cultural production, (1968)",1
"bourdieu p., commentary on the commentaries, contemporary sociology, 21, 2, pp. 151-161, (1992)",1
"bourdieu p., la dissolution du religieux, choses dites, pp. 117-123, (1987)",1
"bourdieu p., passeron j.-c., de saint martin m., students and the language of teaching, academic discourse: linguistic misunderstanding and professorial power, pp. 35-79, (1994)",1
"bourdieu p., political interventions: social science and political action, texts selected and introduced by franck poupeau and thierry discepolo, (2008)",1
"bourdieu p., the forms of capital. handbook of theory and research for the sociology of education. jg richardson, new york, greenwood, 241, 258, (1986)",1
"bourdieu p., the social conditions of the international circulation of ideas, actes de la recherche en sciences sociales, 145, 5, pp. 3-8, (2002)",1
"bourdieu p., homo academicus. english translation, (1988)",1
"bourdieu p., the field of cultural production (various translations), (1993)",1
"bourdieu p., die feinen unterschiede. kritik der gesellschaftlichen urteilskraft [distinction: a social critique of the judgement of taste], (1982)",1
"bourdieu p., sozialer sinn. kritik der theoretischen vernunft [the logic of practice], (1993)",1
"bourdieu p., the logic of practice. r. nice translated, (1990)",1
"bourdieu p., practical reason. r. nice translated, (1998)",1
"bourdieu p., program for the sociology of sport, the olympics and cultural exchange., (1988)",1
"bourdieu p., medytacje pascaliaÅskie, (2006)",1
"bourdieu p., la distinction: critique du jugement social., (1979)",1
"bourdieu p., champagne p., outcasts on the inside, the weight of the world, (1999)",1
"bourdieu p., language and symbolic power cambridge, (1991)",1
"bourdieu p., la lÃ³gica de los campos, una invitaciÃ³n a la sociologÃ­a reflexiva, pp. 147-173, (2005)",1
"bourdieu p., et al., the weight of the world, trans. p. ferguson et al, (1999)",1
"bourdieu p., les conditions sociales de la circulation internationale des idÃ©esâ [the social conditions of the international circulation of ideas], actes de la recherche en sciences sociales, 145, pp. 3-8, (2002)",1
"bourdieu p., champagne p., outcasts on the inside, the weight of the world: social suffering in contemporary society, pp. 421-426, (1999)",1
"bourdieu p., coisas ditas, (1990)",1
"bourdieu p., on the theory of action, (1998)",1
"bourdieu p., der einzige und sein eigenheim, (2002)",1
"bourdieu p., la distinction. critique sociale du jugement [distinction], (1979)",1
"bourdieu p., anthropologie economique, (2017)",1
"bourdieu p., boltanski l., photography: a middle-brow art, (1990)",1
"bourdieu p., on symbols and society, (1986)",1
"bourdieu p., family and society, pp. 117-144, (1976)",1
"bourdieu p., the sociology of economic life, pp. 96-111, (2001)",1
"bourdieu p., nice r., wacquant l., the peasant and his body, ethnography, 5, 4, pp. 579-599, (2004)",1
"bourdieu p., the rules of art: genesis and structure of the literary field (meridian: crossing aesthetics), (1996)",1
"bourdieu p., passeron j., nice r., bottomore t., reproduction in education, society, and culture, (2014)",1
"bourdieu p., le paradoxe du sociologue, sociologie et sociÃ©tÃ©s, 11, 1, pp. 85-94, (1979)",1
"bourdieu p., comment peut-on Ãªtre sportif?, questions de sociologie, pp. 173-195, (2002)",1
"bourdieu p., flaubert's point of view, literature and social practice, pp. 211-234, (1989)",1
"bourdieu p., pascalian meditations (nice r., trans.). stanford university press, (original work published, (2000)",1
"bourdieu p., the social structures of the economy (turner c., trans.), polity press, (2005)",1
"bourdieu p., an outline of a theory of practice cambridge, (1977)",1
"bourdieu p., the attitude of the algerian peasant towards time, the sociology of time, pp. 219-237, (1990)",1
"bourdieu p., reproducciÃ³n cultural y reproducciÃ³n social. [cultural and social reproduction], (1970)",1
"bourdieu p., la autoridad pedagÃ³gica, sociologÃ­a y polÃ­tica social de la educaciÃ³n, pp. 221-236, (2005)",1
"bourdieu p., why the social sciences must take themselves as their object, science of science and reflexivity, pp. 85-114, (2004)",1
"bourdieu p., outline of a theory of practice. translated by r. nice, 1977, (1972)",1
"bourdieu p., translated by c. newman. the historical genesis of a pure aesthetic, the journal of aesthetics and art criticism, 46, pp. 201-210, (1987)",1
"bourdieu p., pascalian meditations. cambridge, uk: polity press, 1997 translated by richard nice, (2000)",1
"bourdieu p., die feinen unterschiede (or, la distinction), (1982)",1
"bourdieu p., il dominio maschile, (1999)",1
"bourdieu p., [1986]) the forms of capital. in: szeman i and kaposy t (eds) cultural theory: an anthology, pp. 81-93, (2011)",1
"bourdieu p., the forms of capital, marxist internet archive, (1986)",1
"bourdieu p., sobre el estado. cursos en el collÃ¨ge de france (1989-1992), (2014)",1
"bourdieu p., lectures pierre, on the state: lectures at the college de france 1989â1992, (2014)",1
"bourdieu p., comment la culture vient aux paysans, paysans, 62, pp. 6-20, (1966)",1
"bourdieu p., social space and the genesis of ""classes'"" (1984) in bourdieu, language and symbolic power, pp. 229-291, (1991)",1
"bourdieu p., kapitalismus als konservative restauration, die zeit, (1988)",1
"bourdieu p., description and prescription: the conditions of possibility and the limits of political effectiveness, language and symbolic power, pp. 127-136, (1991)",1
"bourdieu p., against the policy of depoliticization, studies in political economy, 69, 1, pp. 31-41, (2002)",1
"bourdieu p., la grÃ¨ve et lâaction politique, questions de sociologie, pp. 251-263, (1984)",1
"bourdieu p., quelques propriÃ©tÃ©s des champs, questions de sociologie, pp. 113-120, (1984)",1
"bourdieu p., social conditions for the international circulation of ideas, romanistische zeitschrift fur literaturgeschichte-cahiers d histoire des litteratures romanes, 14, 1-2, pp. 1-10, (1990)",1
"bourdieu p., marcel mauss aujourd'hui, sociologie et sociÃ©tÃ©s, 36, pp. 15-22, (2004)",1
"bourdieu p., sketch for a self-analysis, science of science and reflexivity., pp. 94-114, (2004)",1
"bourdieu p., structures and the habitus, material culture: critical concepts in the social sciences, pp. 72-95, (2004)",1
"bourdieu p., readings in the theory of educational system, pp. 159-183, (1971)",1
"bourdieu p., bourdieu and the journalistic field, pp. 29-47, (2005)",1
"bourdieu p., principles for a sociology of cultural works, the field of cultural production: essays on art and literature, pp. 176-191, (1993)",1
"bourdieu p., neoliberalism, utopia of unlimited exploitation, political interventions: social science and political action, pp. 94-105, (2008)",1
"bourdieu p., social scientists, economic science and the social movement, political interventions: social science and political action, pp. 52-59, (2008)",1
"bourdieu p., la logique interne de la civilisation algÃ©rienne traditionnelle, le sous-dÃ©veloppement en algÃ©rie, pp. 40-51, (1959)",1
"bourdieu p., le desenchantement du monde: travail et travailleurs en algÃ©rie, (1966)",1
"bourdieu p., le plaisir de savoir, pp. 1-10, (1984)",1
"bourdieu p., mit weber gegen weber. pierre bourdieu im gesprÃ¤ch, pierre bourdieu. das religiÃ¶se feld, pp. 111-129, (2000)",1
"bourdieu p., sayad a., le dÃ©racinement, (1964)",1
"bourdieu p., le partage des bÃ©nÃ©fices. expansion et inÃ© galitÃ©s en france, pp. 383-421, (1966)",1
"bourdieu p., knowledge, education, and social change, pp. 71-112, (1971)",1
"bourdieu p., boltanski l., de saint-martin m., contemporary europe. social structures and cultural patterns, pp. 197-288, (1973)",1
"bourdieu p., schultheis f., pfeuffer a., the legacy of pierre bourdieu: critical essays, pp. 111-125, (2000)",1
"bourdieu p., razÃµes prÃ¡ticas: sobre a teoria da aÃ§Ã£o (practical reasons: about the theory of action), (1996)",1
"bourdieu p., wacquant l., uma invitaciÃ³n a la sociologia reflexiva (an invitation to reflexive sociology), (2005)",1
"bourdieu p., the bachelor's ball, translated by richard nice, (2008)",1
"bourdieu p., censorship and the imposition of form, language and symbolic power, (1991)",1
"bourdieu p., pierre bourdieu, (2000)",1
"bourdieu p., social capital: critical perspectives, (1986)",1
"bourdieu p., boltanski l., formal qualifications and occupational hierarchies: the relationship between the production system and the reproduction system, reorganizing education: management and participation for change, pp. 61-69, (1977)",1
"bourdieu p., the economy of symbolic goods, practical reason: on the theory of action, (1998)",1
"bourdieu p., postcript on domination and love, masculine domination, pp. 109-112, (2001)",1
"bourdieu p., forms of power and their reproduction, the state noblity: elite schools in the field of power, pp. 263-299, (1996)",1
"bourdieu p., le plaisir de savoir, le monde, 27, 1, (1984)",1
"bourdieu p., homo academicus. paris: editions de minuit, (1984)",1
"bourdieu p., qu'est ce que faire parler un auteur? Ã  propos de michel foucault, sociÃ©tÃ©s et reprÃ©sentations, 3, pp. 13-19, (1995)",1
"bourdieu p., la philosophie, la science, l'engagement (paris, centre georges pompidou, 22 juin 2000), l'infrÃ©quentable michel foucault. renouveaux de la pensÃ©e critique, pp. 189-194, (2001)",1
"bourdieu p., the forms of capital, power and ideology in education, pp. 487-511, (1997)",1
"bourdieu p., passeron j.-c., die illusion der chancengleichheit: untersuchungen zur soziologie des bildungswesens am beispiel frankreichs. texte und dokumente zur bildungsforschung, (1971)",1
"bourdieu p., el sentido prÃ¡ctico[the practical sense], (1991)",1
"bourdieu p., the state nobility, polity, (1996)",1
"bourdieu p., social sciences and democracy, assessment versus evaluation, pp. 261-264, (1997)",1
"bourdieu p., das politische feld. zur kritik der politischen vernunft, (2001)",1
"bourdieu p., satz und gegensatz. Ã¼ber die verantwortung des intellektuellen, (1989)",1
"bourdieu p., boltanski l., de saint martin m., kapital und bildungskapital, pp. 23-88, (1981)",1
"bourdieu p., boltanski l., de saint martin m., maldidier p., titel und stelle: Ã¼ber die reproduktion sozialer macht, (1981)",1
"bourdieu p., a tÃ¡rsadalmi egyenlotlensÃ©gek ÃºjratermelodÃ© se. [the reproduction of social inequalities.], pp. 379-400, (1978)",1
"bourdieu p., et al., âthe contradictions of inheritanceâ, the weight of the world: social suffering in contemporary society, (1999)",1
"bourdieu p., l'Ã©cole conservatrice., revue franÃ§aise de sociologie, 7, 3, pp. 325-347, (1966)",1
"bourdieu p., the corporatism of the universal, telos, 81, pp. 99-110, (1989)",1
"bourdieu p., wacquant l., pierre bourdieu and democratic politics, pp. 178-198, (2005)",1
"bourdieu pierre, language & symbolic power, (1991)",1
"bourdieu pierre, sociological science, 4, 15, pp. 353-393, (1993)",1
"bourdieu p., le mort saisit le vif. les relations entre lâhistoire rÃ©ifiÃ©e et lâhistoire incorporÃ©e, actes de la recherche en sciences sociales, 32, 1, pp. 3-14, (1980)",1
"bourdieu p., masculine domination revisited, goffman prize lecture, (1996)",1
"bourdieu p., outline of a theory and practice, (2013)",1
"bourdieu p., the aesthetic sense as the sense of distinction, the consumer society reader, pp. 205-211, (2000)",1
"bourdieu p., la double vÃ©ritÃ© du don, mÃ©ditations pascaliennes, pp. 229-240, (1997)",1
"bourdieu p., sociologie gÃ©nÃ©rale: cours au collÃ¨ge de france (1983â1986) (general sociology: lectures at the collÃ¨ge de france (1983â1986)), (2016)",1
"bourdieu p., pascalian meditations (richard nice, trans.), (2000)",1
"bourdieu p., over televisie [sur la tlvision], (1998)",1
"bourdieu p., pravidla umÄnÃ­: vznik a struktura literÃ¡rnÃ­ho pole (the rules of art: genesis and structure of the literary field), (2010)",1
"bourdieu p., loic j.d., wacquant, an invitation to reflexive sociology, (2007)",1
"bourdieu p., bourdieu p., sociology in question, pp. 72-77, (1993)",1
"bourdieu p., state/culture: state formation after the cultural turn, pp. 53-75, (1999)",1
"bourdieu p., lauder h., brown p., dillabough j.a., halsey a.h., the forms of capital, education, globalization and social change, pp. 105-118, (2006)",1
"bourdieu p., projet crÃ©ateur et champ intellectuel, les temps modernes, 246, pp. 865-906, (1966)",1
"bourdieu p., sartre, 2, 22, (1980)",1
"bourdieu p., âla production et la reproduction de la langue lÃ©gitimeâ, in pierre bourdieu, ce que parler veut dire. lâÃ©conomie des Ã©changes linguistiques, pp. 23-58, (1982)",1
"bourdieu p., choses dites, pp. 55-56, (1987)",1
"bourdieu p., the forms of capital, education, culture and economy, pp. 46-58, (1997)",1
"bourdieu p., boltanski l., chamboredon j., langneau g., castel r., schnapper d., photography. the social uses of an ordinary art, (1989)",1
"bourdieu p., thinking about artâat art school, (2001)",1
"bourdieu p., claudepasseronsaintmartin m., academic discourse, (1995)",1
"bourdieu p., the cultural field, or: the economic world reversed, poetics, 12, 4-5, pp. 311-356, (1983)",1
"bourdieu p., family and society: selections from the annals, pp. 117-145, (1976)",1
"bourdieu p., the logic of practice, stanford and cambridge: university press and polity press, (1990)",1
"bourdieu p., artistic taste and cultural capital, culture and society: contemporary debates, pp. 205-216, (1990)",1
"bourdieu p., the rules of art: genesis and structure of the literary field. translated by susan emanuel. [english translation of les rÃ¨gles de l'art (1992)], (1996)",1
"bourdieu pierre, passeron jean claude, the inheritors: french students and their relation to culture, (1979)",1
"bourdieu p., structures, habitus, power: basis for a theory of symbolic power, outline of a theory of practice, pp. 159-197, (1977)",1
"bourdieu p., the market of symbolic production, voprosy sotsiologii, 1-2, pp. 49-62, (1993)",1
"special issue: post-colonial bourdieu, the sociological review, 57, 3, pp. 371-546, (2009)",1
"bourdieu p., the journal of aesthetics and art criticism, 46, pp. 201-210, (1993)",1
"bourdieu p., interview with franz schultheis, (2003)",1
"bourdieu p., [1979]). distinction: a social critique of the judgement of taste. london/melbourne/henley, (1984)",1
"bourdieu p., l'illusion autobiographique, actes, pp. 69-72, (1986)",1
"bourdieu p., the intellectual field: a world apart, in other words: essays towards a reflexive sociology, pp. 140-149, (1990)",1
"bourdieu p., pour abdelmalek sayad, annuaire de l'afrique du nord, 37, pp. 9-12, (1998)",1
"bourdieu p., foreword, uncivil war: intellectuals and identity politics, (2001)",1
"bourdieu p., robbins d., gomme r., colonialism and ethnography: foreword to pierre bourdieu's travail et travailleurs en algÃ©rie, anthropology today, 19, pp. 12-18, (2003)",1
"bourdieu p., structures, habitus, power, culture/power/history, pp. 155-199, (1994)",1
"bourdieu p., grass g., the 'progressive' restoration, new left review, 14, pp. 63-77, (2002)",1
"bourdieu p., a social critique of the judgement of taste, cambridge, (1979)",1
"bourdieu p., site effects, the weight of the world, (1999)",1
"bourdieu p., the field of cultural production: essays on art and literature. an introduction, (1993)",1
"bourdieu p., razÃµes prÃ¡ticas, 9, (2008)",1
"bourdieu p., distinction: a social critique of the judgement of taste(r. nice, translator) cambridge, ma: harvard university press. original work, (1984)",1
"bourdieu p., outline of a theory of practice, esquisse dâune thÃ©orie de la pratique, (1977)",1
"bourdieu p., rethinking the state: genesis and structure of the bureaucratic field (l. j. d. wacquant & s. farage, trans.), sociological theory, 12, 1, pp. 1-18, (1994)",1
"bourdieu p., photography: a middle-brow art (english translation), (1990)",1
"bourdieu p., sosiologian kysymyksiÃ¤, (1987)",1
"bourdieu p., den maskuline dominans, (2000)",1
"bourdieu p., symbolic violence and political struggles, pascalian meditations, pp. 164-205, (1997)",1
"bourdieu p., language and linguistic power, (1991)",1
"bourdieu p., s. coleman j., dimaggio p.j., 'social structure, institutions, and cultural goods: the case of the united states, pp. 133-166, (1991)",1
"bourdieu p., language & symbolic power. translated by gino raymond & matthew adamson, (1992)",1
"bourdieu p., public opinion polls: a science without a scientist, in other words, (1990)",1
"bourdieu p., peristiany j.g., the sentiment of honour in kabyle society, honour and shame the values of mediterranean society, (1966)",1
"bourdieu p., Ã¶konomisches kapital, kulturelles kapital, soziales",1
"bourdieu p., nice r., pascalian meditations., (2000)",1
"bourdieu p., thompson j.b., raymond g., adamson m., language and symbolic power., (1991)",1
"bourdieu p., cultural reproduction and social reproduction.â pp. 487â511, power and ideology in education, (1977)",1
"bourdieu p., la transmission de l'hÃ©ritage culturel (the transmission of cultural inheritance), le partage des bÃ©nÃ©fices, pp. 384-420, (1966)",1
"bourdieu p., bourdieu, bourdieu p., darbel a., rivet j.-p., seibel c., avant propos, travail et travailleurs en algÃ©rie, pp. 257-267, (1963)",1
"bourdieu p., identity and representation. elements for a critical reflexion on the idea of region, language and symbolic power, by pierre bourdieu, pp. 220-228, (1991)",1
"bourdieu pierre, distinction: a social critique of the judgement of taste, actes de la recherche en sciences sociales, 145, 5, pp. 3-8, (1984)",1
"bourdieu p., passeron j.c., reproduction in education, society and culture. london: sage. bourdieu, p, (1977)",1
"bourdieu p., distinksjoner: en sosiologisk kritikk av dÃ¸mmekraften (distinctions: a sociological criticism of the judgement), (1995)",1
"bourdieu p., symbolsk makt (symbolic power), (1996)",1
"bourdieu p., preface, les chomeurs de marienthal, (1981)",1
"bourdieu p., distinction (trans. nice, richard), (1984)",1
"bourdieu p., la reproduction, (1970)",1
"bourdieu p., distinction: a social critique of taste. translated by r. nice, (1984)",1
"bourdieu p., the school as a conservative force: scholastic and cultural inequalities, revue franÃ§aise de sociologie, 7, pp. 32-46, (1966)",1
"bourdieu p., abdelmalek s., le dÃ©racinement. la crise de lâagriculture traditionnelle en algÃ©rie, (1964)",1
"bourdieu p., social theory for a changing society, pp. 373-378, (1991)",1
"bourdieu p., de monique s.-m., les catÃ©gories de lâentendement professoral, actes de la recherche en sciences sociales, 1, 3, pp. 68-93, (1975)",1
"bourdieu p., elite schools in the field of power, (1996)",1
"bourdieu p., institut for sosiologi og samfunnsgeografi, universitetet i oslo, physical space, social space and habitus, (1996)",1
"bourdieu p., social space and symbolic space, pierre bourdieu, iv, pp. 3-16, (2000)",1
"bourdieu p., the role of intellectuals today, theoria: a journal of social and political theory, 99, pp. 1-6, (2002)",1
"bourdieu p., loic j.d., (1992)",1
"bourdieu p., selections from bourdieu, cultural theory and popular culture: a reader, (2008)",1
"bourdieu p., a escola conservadora: as desigualdades frente Ã  escola e Ã  cultura, escritos de educaÃ§Ã£o, pp. 43-72, (2014)",1
"bourdieu p., boltanski l., saint-martin m., les stratÃ©gies de reconversion, social science information, 12, pp. 61-113, (1973)",1
"bourdieu pierre, passeron jean-claude, la reproduction",1
"bourdieu p.a.l.j.d.w., an invitation to reflexive sociology. chicago:Â  university of chicago press, (1992)",1
"bourdieu p., passeron j.c., reproduction in education, society and culture, translated by richard nice. sage studies in social and educational change, 5, (1977)",1
"bourdieu p., balazs g., beaud s., et al., das elend der welt. zeugnisse und diagnosen alltÃ¤glichen leidens, (1997)",1
"bourdieu p., kultur och kritik, (1991)",1
"bourdieu p., passeron j.c., reproduction in society, education and culture., trans. r. nice, (1977)",1
"bourdieu p., dystynkcja. spoÅeczna krytyka wÅadzy sÄdzenia, (1979)",1
"bourdieu p., social theory for a changing society, epilogue: on the possibility of a field of world sociology, (1991)",1
"bourdieu p., the science studies reader, the specificity of the scientific field and the social conditions of the progress of reason, (1999)",1
"bourdieu p., reflexive sociology, (1992)",1
"bourdieu p., Ã©preuve scolaire et consÃ©cration sociale, actes de la recherche en sciences sociales, 39, 1, pp. 3-70, (1981)",1
"bourdieu p., on the possibility of a field of world sociology, pierre bourdieu and james s. coleman, pp. 373-387, (1991)",1
"bourdieu p., et al., deux sÃ©minaires (paris-gÃ´ttingen), actes de la recherche en sciences sociales, 106-107, pp. 102-104, (1995)",1
"bourdieu p., the logic of practice. redwood city, (1990)",1
"bourdieu p., et al., understanding, the weight of the world, pp. 607-626, (1999)",1
"bourdieu p., programme for a sociology of sport essays. in other words: towards a reflexive sociology, (1987)",1
"bourdieu p., habitus and the space of lifestyles, distinction. a social critique of the judgement of taste, pp. 169-175, (1984)",1
"bourdieu p., les relations entre les sexes dans la sociÃ©tÃ© paysanne, les temps, (1962)",1
"bourdieu p., marie-claire b., the peasant and photography, ethnography, 5, 4, pp. 600-686, (1965)",1
"bourdieu p., comment la culture vient aux paysans, paysans, 62, october-november, pp. 6-20, (1966)",1
"bourdieu p., structures sociales et structures de perception du monde social, actes de la rercherche en sciences sociales, 2, march, pp. 18-20, (1975)",1
"bourdieu p., from rules to strategies, cultural anthropology, 1, 1, pp. 110-120, (1985)",1
"bourdieu p., introduction Ã  la socioanalyse, actes de la recherche en sciences sociales, 90, december, pp. 3-6, (1991)",1
"bourdieu p., entre amis, awal. cahiers dâÃ©tudes berbÃ¨res, 21, pp. 5-10, (2000)",1
"bourdieu p., images d'algÃ©rie, (2003)",1
"bourdieu p., gisele s., entretien entre pierre bourdieu et gisÃ¨le sapiro, pierre bourdieu, sociologue, (2004)",1
"bourdieu p., a distinÃ§Ã£o. uma crÃ­tica social da faculdade do juÃ­zo, (2010)",1
"bourdieu p., la distinzione: critica sociale del gusto, (1979)",1
"bourdieu p., âthe forms of capital (1986).â, cultural theory: an anthology, 1, pp. 81-93, (2011)",1
"bourdieu p., social reproduction, culture, pp. 63-99, (2003)",1
"bourdieu p., nÃ©cessiter, cahier de lâherne, 51, pp. 434-437, (1986)",1
"bourdieu p., apollinaire, autumn ill, paragraph, 35, pp. 131-136, (2012)",1
"bourdieu p., television, european review, 9, pp. 245-256, (2001)",1
"bourdieu p., the political field, the social science field, and the journalistic field, pp. 29-47, (2005)",1
"bourdieu p., la jeunesse n'est qu'en mot, questions de sociologie, (1980)",1
"bourdieu p., darbel a., l'amour de l'art, (1966)",1
"bourdieu p., contre la destruction dâune civilisation [against the destruction of a civilisation], in p. bourdieu: contre-feux. propos pour servir Ã  la rÃ©sistance contre l'invasion nÃ©o-libÃ©rale. paris: liber-raisons d'agir., (1998)",1
"bourdieu p., si le monde social mâest insupportable, câest parce que je peux mâindigner [if i find the social world insupportable, it is because i can be outraged]. [interview with antoine spire]. paris: editions de lâaube, (2002)",1
"bourdieu p., chartier r., interview in âles lundis de l'histoireâ, france culture, august 3rd, (2002)",1
"bourdieu p., condition de classe et position de classe, european journal of sociology, 7, 2, pp. 201-223, (1966)",1
"bourdieu p., appendix: the âsovietâ variant and political capital, practical reason. on the theory of action, (1998)",1
"bourdieu pierre, on television, (2011)",1
"bourdieu p., one problem can be hidden by another: the question of the islamic scarf, political interventions, social science and political action, (2008)",1
"bourdieu p., the production of belief: contribution to an economy of symbolic goods, media, culture and society: a critical reader, pp. 131-165, (1986)",1
"bourdieu pierre, wacquant loic j.d., from ruling class to field of power: an interview with pierre bourdieu on la noblesse d'Ã©tat, theory, culture & society, 10, 3, pp. 19-44, (1993)",1
"bourdieu p., symbolic power, critique of anthropology, 4, 13-14, (1977)",1
"bourdieu p., counterfire: against the tyranny of the market, (2003)",1
"bourdieu p., wacquant l.j.d., Ä¯vadas Ä¯ refleksyviÄjÄ sociologijÄ[introduction to reflexive sociology], (2003)",1
"bourdieu p., paysans dÃ©racinÃ©s, bouleversements morphologiques et changements culturels en algÃ©rie, etudes rurales, 12, january-march, pp. 56-94, (1964)",1
"bourdieu p., esquisse d'une thorie de la pratique, (2000)",1
"bourdieu p., the family spirit, practical reason, (1998)",1
"bourdieu p., the forms of capital, r. nice (trans.), the handbook of theory and research for the sociology of education, pp. 248-259, (1986)",1
"bourdieu p., espace social et pouvoir symbolique [social space and symbolic power], choses dites, (1987)",1
"bourdieu p., la distinciÃ³n, (1988)",1
